0002 00580 1|T|003.03708871|+01.57351477|       |       | 42.9| 39.5|     |     | |11.688|0.122|11.171|0.121|999|T|       
0002 00976 1|T|003.43212271|+01.39153181|       |       | 26.2| 21.6|     |     | |11.311|0.075|10.400|0.053|648|T|       
0002 01127 2|H|004.36837051|+00.31948829|  -32.1|   -9.1| 13.6|  8.3|  8.2|  5.0|H|      |     |10.279|0.041| 75| |  1397B
0002 01141 1|T|004.96919554|+01.14928317|       |       | 63.2| 56.8|     |     | |11.828|0.144|11.354|0.164|999|T|       
0004 01063 1|H|000.82923787|+04.68713578|  -24.5|  -85.4|  3.2|  2.0|  3.6|  2.4|H|      |     |12.126|0.010|999| |   263 
0004 01130 1|H|000.01814144|+03.94648893|  226.3|  -12.8|  4.0|  2.2|  6.2|  3.2|H|      |     |12.449|0.009|999| |     6 
0005 00360 1|H|004.48310352|+04.69894314|   -3.5|  -27.8|  3.8|  1.8|  4.4|  2.1|H|      |     |12.370|0.010|999| |  1438 
0005 00638 1|T|004.42256273|+03.90377401|       |       | 75.6| 45.6|     |     | |11.794|0.177|11.601|0.236|999|T|       
0007 00733 1|T|001.84475558|+05.36868729|       |       | 42.9| 33.8|     |     | |11.782|0.154|10.729|0.088|999|T|       
0007 00931 1|T|000.42664239|+05.84448420|       |       | 71.2| 41.2|     |     | |11.869|0.153|11.268|0.152|999|T|       
0010 00993 1|H|007.81346099|+01.96476050|  -90.3|  -81.0|  5.3|  4.0|  6.1|  4.1|H|      |     |12.480|0.018|999| |  2458 
0011 00098 1|T|010.87703187|+01.99940784|       |       | 52.5| 47.4|     |     | |12.206|0.200|11.278|0.136|999|T|       
0013 00029 1|T|009.25851179|+03.20875878|       |       | 66.7| 56.1|     |     | |12.232|0.220|11.741|0.245|999|T|       
0013 00641 1|H|007.62177068|+04.33904103|   74.1|   -8.7|  4.3|  2.7|  4.3|  2.5|H|      |     |12.368|0.014|999| |  2391 
0016 00433 1|T|008.06459724|+06.92385750|       |       | 14.1| 13.1|     |     | |10.230|0.029| 9.935|0.035|999|T|       
0016 01424 1|T|008.10658341|+06.95638762|       |       | 16.9| 23.8|     |     | |10.276|0.048| 9.515|0.038|274|T|       
0017 00222 1|H|011.06863501|+05.89285419|   -5.9|  -39.9|  8.8|  6.9|  7.5|  5.5|H|      |     |12.639|0.074| 15| |  3460A
0017 00222 2|H|011.06838004|+05.89318633|   -5.9|  -39.9| 38.5| 24.7|  7.5|  5.5|H|      |     |13.377|0.145| 15| |  3460B
0017 00750 1|H|011.95185721|+06.03199049|   54.9|  -33.7|  2.9|  2.0|  3.0|  2.0|H|      |     |11.731|0.008|999| |  3724 
